ts_event,price
2024-10-21 13:00:49.726074065+00:00,233.88
2024-10-21 13:00:49.778826185+00:00,233.88
2024-10-21 13:00:49.778838318+00:00,233.91
2024-10-21 13:00:54.716822373+00:00,233.74
2024-10-21 13:00:59.693940803+00:00,233.91
2024-10-21 13:00:59.747110424+00:00,233.91
2024-10-21 13:00:59.747122038+00:00,233.88
2024-10-21 13:01:00.264901397+00:00,234.06
2024-10-21 13:01:02.339834695+00:00,233.88
2024-10-21 13:01:02.339847159+00:00,233.9
2024-10-21 13:01:02.394404993+00:00,233.75
2024-10-21 13:01:05.134038116+00:00,233.89
2024-10-21 13:01:05.134048475+00:00,233.75
2024-10-21 13:01:05.138120217+00:00,233.89
2024-10-21 13:01:05.235815575+00:00,233.75
2024-10-21 13:01:05.393823832+00:00,233.88
2024-10-21 13:01:05.393825110+00:00,233.87
2024-10-21 13:01:05.899852701+00:00,233.87
2024-10-21 13:01:05.959248966+00:00,233.89
2024-10-21 13:01:06.034140717+00:00,233.89
2024-10-21 13:01:06.159894555+00:00,233.87
2024-10-21 13:01:06.159895738+00:00,233.86
2024-10-21 13:01:06.160259036+00:00,233.86
2024-10-21 13:01:06.160299314+00:00,233.92
2024-10-21 13:01:06.417068923+00:00,233.89
2024-10-21 13:01:06.417082645+00:00,233.92
2024-10-21 13:01:06.419808801+00:00,233.87
2024-10-21 13:01:06.420441261+00:00,233.85
2024-10-21 13:01:06.487767695+00:00,233.75
2024-10-21 13:01:06.487780628+00:00,233.73
2024-10-21 13:01:06.928932179+00:00,233.86
2024-10-21 13:01:06.928934336+00:00,233.85
2024-10-21 13:01:07.114657176+00:00,233.89
2024-10-21 13:01:07.491424602+00:00,233.74
2024-10-21 13:01:07.809440257+00:00,233.89
2024-10-21 13:01:07.809453384+00:00,233.91
2024-10-21 13:01:07.864852819+00:00,233.74
2024-10-21 13:01:07.864865339+00:00,233.7
2024-10-21 13:01:08.021159560+00:00,233.9
2024-10-21 13:01:10.260620882+00:00,233.81
2024-10-21 13:01:10.260688910+00:00,233.81
2024-10-21 13:01:13.991855366+00:00,233.7
2024-10-21 13:01:13.993575048+00:00,233.7
2024-10-21 13:01:13.993804360+00:00,233.84
2024-10-21 13:01:13.993845419+00:00,233.9
2024-10-21 13:01:14.053073117+00:00,233.87
2024-10-21 13:01:14.101635781+00:00,233.7
2024-10-21 13:01:14.254042044+00:00,233.84
2024-10-21 13:01:14.254340207+00:00,233.87
2024-10-21 13:01:14.258450289+00:00,233.87
2024-10-21 13:01:14.551172515+00:00,233.7
2024-10-21 13:01:14.757245185+00:00,233.83
2024-10-21 13:01:14.757257838+00:00,233.84
2024-10-21 13:01:14.757605580+00:00,233.83
2024-10-21 13:01:14.817149379+00:00,233.85
2024-10-21 13:01:15.017831294+00:00,233.84
2024-10-21 13:01:22.653792170+00:00,233.9
2024-10-21 13:01:22.653805266+00:00,233.92
2024-10-21 13:01:22.709886825+00:00,233.91
2024-10-21 13:01:22.771731264+00:00,233.7
2024-10-21 13:01:22.771744033+00:00,233.71
2024-10-21 13:01:24.376253116+00:00,233.81
2024-10-21 13:01:31.407847430+00:00,233.88
2024-10-21 13:01:36.770750984+00:00,233.71
2024-10-21 13:01:36.770763949+00:00,233.7
2024-10-21 13:01:38.009732596+00:00,233.7
2024-10-21 13:01:38.212599640+00:00,233.7
2024-10-21 13:01:41.028235004+00:00,233.9
2024-10-21 13:01:41.825702493+00:00,233.7
2024-10-21 13:01:43.524114303+00:00,233.82
