ts_event,best_level_ofi
2024-10-21 12:15:29.175269965,-324.0
2024-10-21 12:15:29.175287761,0.0
2024-10-21 12:15:29.175293157,-38.0
2024-10-21 12:15:29.175298862,0.0
2024-10-21 12:15:29.175307953,324.0
2024-10-21 12:15:29.175318339,-324.0
2024-10-21 12:15:29.175376083,-38.0
2024-10-21 12:15:29.175388906,0.0
2024-10-21 12:15:29.246390784,0.0
2024-10-21 12:15:29.246423576,0.0
2024-10-21 12:15:29.246816914,0.0
2024-10-21 12:15:29.246910849,0.0
2024-10-21 12:15:29.283764753,0.0
2024-10-21 12:15:29.283775550,0.0
2024-10-21 12:15:29.283823523,0.0
